Part,Value,Device,Package,Description,ALTERNATE_MFG_PN,CENTERLINE_PN,CURRENT,DCR,MFG_PN,POWER,TOL,VOLTAGE
AMP,,TPA6203A1,8-MSOP,IC AMP AUDIO PWR 1.25W AB 8MSOP,,,,,TPA6203A1DGNR,,,
ANT_MOUNT,PEM_M3,PEM_M3,PEM_M3,,,PR2040,,,Consigned,,,
C1,22nF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10B223KB8NNNC,,10%,16V
C2,22nF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10B223KB8NNNC,,10%,16V
C3,.1uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10B104KB8SFNC,,10%,16V
C8,1uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10B105KP8NNNC,,10%,10V
C10,22pF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,C1608C0G1H220J080AA,,5%,50V
C11,22pF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,C1608C0G1H220J080AA,,5%,50V
C14,47pF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10C470JB8NCNC,,5%,50V
C20,.22uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,C1608X7R1C224K080AC,,10%,16V
C21,.22uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,C1608X7R1C224K080AC,,10%,16V
C22,.22uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,C1608X7R1C224K080AC,,10%,16V
C23,.1uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10B104KB8SFNC,,10%,16V
C24,1uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10B105KP8NNNC,,10%,10V
C25,10uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10A106MQ8NNNC,,20%,6.3V
C32,10uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10A106MQ8NNNC,,20%,6.3V
C33,.1uF,C_SMT_0603_CPL,0603_CPL,SMT capacitor,,,,,CL10B104KB8SFNC,,10%,16V
C40,220uF,NICHICON_SERIESUD,NICHICON_UD_63,Nichicon UD Series 220uf Cap,,,,,UUD1C221MCL1GS,,20%,16V
D1,,BAV99,SOT23_CPL,DIODE ARRAY GP 100V 215MA SOT23,,,,,"BAV99,215",,,
FET1,,AO3435,SOT23_CPL,MOSFET P-CH 20V 2.9A SOT23,AO3415A,,,,AO3435,,,
ISP,,AVR_SPI_PRG_6NS,2X3-NS,DIL VERTICAL PC TAIL PIN HEADER,,,,,DNP,,,
JP5,BK-92_MPD_AA_BATT_CLIP,BK-92_MPD_AA_BATT_CLIP,BK92_AA_BATT,Thru hole AA battery clip pair.,,PR2003,,,Consigned,,,
JP6,BK-92_MPD_AA_BATT_CLIP,BK-92_MPD_AA_BATT_CLIP,BK92_AA_BATT,Thru hole AA battery clip pair.,,PR2003,,,Consigned,,,
L1,180nH,L_SMT_0805_ADAFRUIT,0805_ADAFRUIT,SMT inductor,AISC-0805-R18G-T ,,400mA,640m,AISC-0805-R18J-T ,,5%,
L2,2.2K @ 100Mhz,L_SMT_0603_CPL,0603_CPL,SMT inductor,,,,,CRCW06030000Z0EAHP,,,
L3,2.2K @ 100Mhz,L_SMT_0603_CPL,0603_CPL,SMT inductor,,,,,CRCW06030000Z0EAHP,,,
LED,HSMC-C265_REVERSE_MOUNT_LED,HSMC-C265_REVERSE_MOUNT_LED,HSMA-C265_REVERSE_MOUN_LED,HSMA-C265,,,,,HSMA-C265,,,
MCU,,ATTINY45TINY45-20-SMT,8-SOIC,Atmel 8-pin 2/4/8kB flash uC,,,,,Consigned,,,
R1,VOLUME_POT,VOLUME_POT,H17112NS_A10K_L20F-002,"Switched potentiometer, vertical mount, 10K audio taper",,PR2030,,,Consigned,,,
R21,12K,R_SMT_R0603_CPL,0603_CPL,SMT resistor,,,,,RC0603FR-0712KL,1/10W,1%,
R22,12K,R_SMT_R0603_CPL,0603_CPL,SMT resistor,,,,,RC0603FR-0712KL,1/10W,1%,
R23,100K,R_SMT_R0603_CPL,0603_CPL,SMT resistor,,,,,ERJ-3EKF1003V,1/10W,1%,
R24,100K,R_SMT_R0603_CPL,0603_CPL,SMT resistor,,,,,ERJ-3EKF1003V,1/10W,1%,
SPEAKER,PR2023_GROUND_UP_SPEAKER,PR2023_GROUND_UP_SPEAKER,PR2023_GROUND_UP_SPEAKER,,,PR2033,,,Consigned,,,
SPEAKER_PEM_1,PEM_M3_SPK,PEM_M3_SPK,PEM_M3_SPK,,,PR2040,,,Consigned,,,
SPEAKER_PEM_2,PEM_M3_SPK,PEM_M3_SPK,PEM_M3_SPK,,,PR2040,,,Consigned,,,
SPEAKER_PEM_3,PEM_M3_SPK_GROUND,PEM_M3_SPK_GROUND,PEM_M3_SPK,,,PR2040,,,Consigned,,,
SPEAKER_PEM_4,PEM_M3_SPK,PEM_M3_SPK,PEM_M3_SPK,,,PR2040,,,Consigned,,,
SW1,C&K_PTS645,C&K_PTS645,C&K_PTS645_SMT,SWITCH TACTILE SPST-NO 0.05A 12V,,,,,PTS645SM43SMTR92 LFS,,,
U1,FMIC,SI4702-C19-GMR,SI470X_20_QFN,IC FM RADIO TUNER 20-QFN,,,,,Consigned,,,
X1,,ABS25XTAL,4-SOJ,4PIN 32.768 Xtal,,,,,ABS25-32.768KHZ-T,,,